time,pattern,strategy,traffic,active_replicas,p95_latency,p99_latency,cpu_usage
22,stable,Least-CPU,493,10,25.834105769292552,25.834105769292552,"[20.367452991323667, 20.922334507003587, 25.00499919621655, 20.63524608106405, 20.377704221264416, 23.13685061978884, 22.174428386735315, 21.53825573063708, 20.906894542739096, 21.846272716799962]"
23,stable,Least-CPU,453,10,24.770498289705216,24.770498289705216,"[22.93803322450063, 20.523218318917362, 20.894603068287974, 21.45750596043905, 23.03114604154606, 19.68502852177984, 20.118394133432535, 20.89548828346945, 20.614878426155432, 20.299659167140312]"
24,stable,Least-CPU,496,10,27.1908275957055,27.1908275957055,"[19.802355615765535, 21.58560558853146, 20.436917520869287, 19.407815650087173, 19.75333075186228, 23.60514791484057, 22.719427871815427, 20.172834572896186, 21.29667704274317, 22.647644892936366]"
25,stable,Least-CPU,492,10,26.78961915635959,26.78961915635959,"[21.88440329786255, 20.600611990576674, 20.7969217208278, 23.070368250071283, 23.237741227429346, 19.941688174982794, 19.788643350835898, 21.46027089523144, 20.223755387249245, 20.30654797540377]"
26,stable,Least-CPU,467,10,26.179476855025467,26.179476855025467,"[19.506771994807938, 20.671706084991506, 19.680128402509826, 19.974233547828053, 19.507991736468977, 23.229944591156634, 24.0664284295966, 19.44153163464817, 21.623047133843688, 21.232265395579205]"
27,stable,Least-CPU,503,10,27.053797598930647,27.053797598930647,"[22.787187295785767, 20.447855967749526, 20.468294449591394, 21.167405426099165, 22.338666626060945, 20.378869897088933, 20.570703037780312, 24.35450841741724, 19.650864314260563, 20.489289843161384]"
28,stable,Least-CPU,534,10,26.51772743060303,26.51772743060303,"[20.34101839011383, 23.418542525531066, 22.715376621612982, 20.149261542377708, 21.130285168001986, 24.45666902341354, 20.37284691071131, 21.185231313718482, 25.58820835263975, 21.31128929284937]"
29,stable,Least-CPU,500,10,26.834212753370597,26.834212753370597,"[23.992088468144832, 20.986530403072138, 20.7427233282362, 24.606832185905365, 21.895437936326026, 21.40204612148237, 23.242539062426513, 20.9908845231232, 21.362344975806582, 20.329815677010586]"
30,stable,Least-CPU,494,10,26.699722795297873,26.699722795297873,"[21.064227443552063, 22.865044377422706, 22.830926436849104, 20.72848451202233, 20.972530879411103, 20.523065838698216, 21.225925028567843, 21.763640891442375, 21.378774017000904, 25.311657717210302]"
31,stable,Least-CPU,520,10,26.765004727855956,26.765004727855956,"[21.760314683977334, 20.72693392561561, 20.71455584713147, 23.894946014257613, 23.87423582210927, 23.94623258778699, 21.117338643749168, 20.229936756415082, 20.887070294470664, 21.236722014315287]"
32,stable,Least-CPU,520,10,26.193022738341092,26.193022738341092,"[20.607173589229394, 23.610306439653915, 24.619997098209662, 20.684718852861682, 21.456568791137112, 20.49158367313033, 21.32428646383052, 24.338474199715787, 22.61474945572955, 20.490408010819305]"
33,stable,Least-CPU,477,10,26.451949422867084,26.451949422867084,"[22.09885370526722, 21.225259794644074, 20.438837712520282, 22.064701156542103, 20.157838868494718, 23.34956024960688, 21.027373176296607, 21.24341991472141, 20.722084945830446, 24.96222841939433]"
34,stable,Least-CPU,500,10,25.341538436233602,25.341538436233602,"[20.228703993080323, 20.983345025871387, 23.39559003901867, 20.472771222983855, 24.583367682890604, 20.587168300339066, 22.318795843990507, 20.416417764361963, 22.801406697539814, 21.0076413982522]"
35,stable,Least-CPU,492,10,27.19298663353143,27.19298663353143,"[23.4796738722125, 20.846348384359814, 20.547164734764557, 22.63636630214076, 20.86316646730206, 22.315912062823404, 20.62858944647856, 23.786180297370734, 20.695554850979782, 19.95698435954513]"
36,stable,Least-CPU,515,10,26.974784139725983,26.974784139725983,"[20.87705590703603, 21.0198866704604, 24.66429078988823, 20.97294494708702, 20.671601833325624, 21.01278722500297, 23.351709955972602, 20.891321673212058, 21.424800747706353, 24.14689124279416]"
37,stable,Least-CPU,501,10,27.02248633211443,27.02248633211443,"[23.085539011026377, 20.214676192157356, 20.683181453078447, 22.12459213902256, 25.019105966280762, 21.44380658512861, 21.42424700419121, 23.577827318961866, 20.73763410083871, 21.317315394631702]"
38,stable,Least-CPU,523,10,26.98519745020666,26.98519745020666,"[21.459967143338567, 24.685838410223333, 23.2716962311599, 20.725548585568703, 21.220032422158024, 21.423030185540036, 21.63357889043102, 21.22149401173799, 22.789162984676842, 22.17814173301872]"
39,stable,Least-CPU,543,10,26.41483526465543,26.41483526465543,"[22.10319056025759, 21.180249432857458, 21.025790380139522, 25.299097047910184, 24.714407059515004, 23.193748169094864, 20.99310385225879, 23.251800184050513, 21.423375351156473, 21.603204583774158]"
40,stable,Least-CPU,533,10,26.63038733562991,26.63038733562991,"[21.720027944357657, 24.04340394466494, 24.79556725137335, 21.684473853957037, 21.95958018470383, 22.344837702106695, 25.13018598435238, 21.77770472059944, 23.421886985294805, 22.20037089965531]"
41,stable,Least-CPU,480,10,26.56495672708297,26.56495672708297,"[24.5381899142801, 21.737980733493785, 21.576742320825264, 24.07920404865041, 21.78567124941363, 21.19055441617136, 21.00950092576833, 23.712429309931466, 21.130320219216177, 21.69428378179881]"
42,stable,Least-CPU,506,10,26.534956294052424,26.534956294052424,"[20.826137296055094, 20.74072570406876, 22.76338041027666, 21.25376526086263, 20.72655945200826, 23.478102852677896, 24.54941967469076, 21.56654818149696, 24.052109705236433, 21.643155092480665]"
43,stable,Least-CPU,548,10,27.469307721981576,27.469307721981576,"[24.377974323337668, 24.47397278983896, 21.78536843452027, 22.424698026844048, 25.19277005339557, 21.0701979381915, 21.30149215959446, 22.78861368535341, 21.79012886940166, 21.39767852519218]"
44,stable,Least-CPU,547,10,26.52649901157526,26.52649901157526,"[21.77310936652312, 21.27343783420212, 23.283204751516962, 22.372294121143405, 21.607114977009125, 25.37119101324241, 24.911105801567267, 21.804850363417245, 22.431091782715214, 23.130872380668993]"
45,stable,Least-CPU,524,10,26.63442096325331,26.63442096325331,"[23.492291639704113, 25.430572749998323, 20.962449809762266, 23.20023236288634, 24.321036359575736, 21.37721904820584, 21.41955672967731, 22.890081142707952, 22.345555958955295, 22.186206665365383]"
46,stable,Least-CPU,457,10,26.430849641630218,26.430849641630218,"[20.407746488894563, 20.997070590368832, 24.832096662932102, 21.247579532093816, 20.498465003670603, 23.164078694170023, 22.57835087304958, 21.00081480238262, 22.10796967622841, 21.59504916953668]"
47,stable,Least-CPU,515,10,26.76525132182133,26.76525132182133,"[25.534477480705025, 23.85060286279625, 21.24677885878092, 21.326630847277073, 22.992442712650554, 20.85192203432387, 20.592211115934752, 22.846455092231594, 20.67407576022472, 20.94968830532808]"
48,stable,Least-CPU,548,10,26.555250923505724,26.555250923505724,"[21.722108122700543, 21.283563492252952, 21.88964662942778, 20.878116076438292, 21.42871446502065, 22.998758605917082, 25.067574543067714, 21.62172628256398, 24.433592160630294, 22.236879483559733]"
49,stable,Least-CPU,456,10,26.42803509439757,26.42803509439757,"[21.78830021396798, 22.91586330388052, 21.0859580761799, 23.48356078577942, 22.923295560580343, 20.752386994998492, 20.962321310712856, 22.43946598080453, 21.026325878188693, 20.004712575221973]"
50,stable,Least-CPU,521,10,27.06238928886952,27.06238928886952,"[21.243521338267236, 21.20327156463957, 22.02004728827474, 20.098872452550914, 20.08305432705071, 24.573509117506383, 22.82396882547438, 20.634338793304074, 21.644579394472586, 23.883163914301736]"
51,stable,Least-CPU,528,10,26.137701894452803,26.137701894452803,"[22.257909489469185, 22.09798541373649, 20.660474209799325, 23.220885396626873, 25.35235133167067, 20.989145420831104, 20.822904193748233, 23.04055085261047, 21.238434353187017, 21.40659691531669]"
52,stable,Least-CPU,496,10,26.51680963871365,26.51680963871365,"[20.988945043080058, 21.61359226611014, 23.970018927272505, 20.76658031716836, 21.540543251328767, 22.36249595509794, 24.35323814147285, 21.037527935967482, 22.295355770606488, 20.99622003274437]"
